date,week,case_id,case_type,reviewer,ai_decision,human_decision
2026-08-07,W1,RV-0166,travel,R-E,approve,approve
2026-08-08,W2,RV-0015,travel,R-A,approve,approve
2026-08-08,W2,RV-0055,conduct,R-B,approve,route-to-human
2026-08-08,W2,RV-0059,travel,R-B,reject,route-to-human
2026-08-08,W2,RV-0096,expense,R-C,approve,approve
2026-08-08,W2,RV-0138,conduct,R-D,route-to-human,route-to-human
2026-08-09,W2,DUP-05a,conduct,R-D,approve,approve
2026-08-09,W2,RV-0016,benefits,R-A,route-to-human,route-to-human
2026-08-09,W2,RV-0019,benefits,R-A,approve,approve
2026-08-09,W2,RV-0051,travel,R-B,approve,approve
2026-08-09,W2,RV-0056,pto,R-B,approve,approve
2026-08-09,W2,RV-0091,travel,R-C,approve,approve
2026-08-09,W2,RV-0092,travel,R-C,approve,approve
2026-08-09,W2,RV-0097,travel,R-C,reject,reject
2026-08-09,W2,RV-0134,travel,R-D,reject,reject
2026-08-09,W2,RV-0172,travel,R-E,approve,approve
2026-08-09,W2,RV-0173,expense,R-E,approve,approve
2026-08-09,W2,RV-0178,expense,R-E,approve,approve
2026-08-10,W2,RV-0058,travel,R-B,approve,approve
2026-08-10,W2,RV-0094,travel,R-C,reject,reject
2026-08-10,W2,RV-0095,benefits,R-C,approve,approve
2026-08-10,W2,RV-0099,expense,R-C,approve,route-to-human
2026-08-10,W2,RV-0100,expense,R-C,approve,approve
2026-08-10,W2,RV-0131,benefits,R-D,approve,route-to-human
2026-08-10,W2,RV-0132,expense,R-D,approve,approve
2026-08-10,W2,RV-0133,expense,R-D,approve,approve
2026-08-10,W2,RV-0135,pto,R-D,approve,approve
2026-08-10,W2,RV-0176,expense,R-E,approve,approve
2026-08-11,W2,RV-0012,travel,R-A,approve,approve
2026-08-11,W2,RV-0013,travel,R-A,route-to-human,route-to-human
2026-08-11,W2,RV-0014,travel,R-A,approve,approve
2026-08-11,W2,RV-0018,conduct,R-A,approve,approve
2026-08-11,W2,RV-0020,conduct,R-A,reject,reject
2026-08-11,W2,RV-0054,travel,R-B,approve,approve
2026-08-11,W2,RV-0140,pto,R-D,approve,approve
2026-08-11,W2,RV-0180,travel,R-E,approve,approve
2026-08-12,W2,RV-0011,travel,R-A,reject,reject
2026-08-12,W2,RV-0017,benefits,R-A,reject,reject
2026-08-12,W2,RV-0052,expense,R-B,approve,approve
2026-08-12,W2,RV-0137,pto,R-D,approve,route-to-human
2026-08-12,W2,RV-0171,travel,R-E,reject,approve
2026-08-12,W2,RV-0177,pto,R-E,approve,approve
2026-08-13,W2,RV-0098,conduct,R-C,reject,reject
2026-08-13,W2,RV-0136,conduct,R-D,approve,approve
2026-08-13,W2,RV-0175,benefits,R-E,approve,approve
2026-08-14,W2,RV-0053,expense,R-B,approve,approve
2026-08-14,W2,RV-0057,conduct,R-B,approve,reject
2026-08-14,W2,RV-0060,benefits,R-B,reject,approve
2026-08-14,W2,RV-0093,travel,R-C,reject,reject
2026-08-14,W2,RV-0139,travel,R-D,approve,approve
2026-08-14,W2,RV-0174,travel,R-E,approve,approve
2026-08-14,W2,RV-0179,expense,R-E,approve,approve
2026-08-15,W3,DUP-04b,travel,R-D,reject,reject
2026-08-15,W3,RV-0022,expense,R-A,approve,approve
2026-08-15,W3,RV-0029,conduct,R-A,approve,approve
2026-08-15,W3,RV-0067,conduct,R-B,approve,approve
2026-08-15,W3,RV-0106,benefits,R-C,approve,approve
2026-08-15,W3,RV-0108,conduct,R-C,approve,approve
2026-08-15,W3,RV-0110,benefits,R-C,approve,approve
2026-08-15,W3,RV-0150,expense,R-D,approve,reject
2026-08-15,W3,RV-0183,benefits,R-E,approve,approve
2026-08-15,W3,RV-0185,expense,R-E,approve,approve
2026-08-16,W3,RV-0021,pto,R-A,reject,approve
2026-08-16,W3,RV-0063,benefits,R-B,approve,approve
2026-08-16,W3,RV-0149,travel,R-D,reject,reject
2026-08-16,W3,RV-0181,pto,R-E,approve,approve
2026-08-16,W3,RV-0188,expense,R-E,approve,approve
2026-08-17,W3,DUP-01b,pto,R-A,approve,approve
2026-08-17,W3,RV-0025,conduct,R-A,approve,approve
2026-08-17,W3,RV-0028,conduct,R-A,route-to-human,route-to-human
2026-08-17,W3,RV-0064,travel,R-B,reject,reject
2026-08-17,W3,RV-0102,travel,R-C,reject,reject
2026-08-17,W3,RV-0104,pto,R-C,approve,approve
2026-08-17,W3,RV-0105,expense,R-C,reject,reject
2026-08-17,W3,RV-0148,benefits,R-D,approve,approve
2026-08-18,W3,RV-0024,pto,R-A,route-to-human,route-to-human
2026-08-18,W3,RV-0143,pto,R-D,approve,approve
2026-08-18,W3,RV-0187,expense,R-E,reject,approve
2026-08-18,W3,RV-0189,expense,R-E,approve,route-to-human
2026-08-19,W3,RV-0023,conduct,R-A,reject,reject
2026-08-19,W3,RV-0027,benefits,R-A,reject,reject
2026-08-19,W3,RV-0070,pto,R-B,approve,reject
2026-08-19,W3,RV-0109,expense,R-C,route-to-human,route-to-human
2026-08-19,W3,RV-0141,travel,R-D,approve,approve
2026-08-19,W3,RV-0147,pto,R-D,approve,approve
2026-08-19,W3,RV-0182,benefits,R-E,approve,approve
2026-08-20,W3,DUP-02b,expense,R-B,approve,reject
2026-08-20,W3,RV-0062,travel,R-B,reject,reject
2026-08-20,W3,RV-0065,expense,R-B,approve,route-to-human
2026-08-20,W3,RV-0066,travel,R-B,approve,route-to-human
2026-08-20,W3,RV-0068,benefits,R-B,reject,reject
2026-08-20,W3,RV-0069,expense,R-B,approve,reject
2026-08-20,W3,RV-0101,conduct,R-C,approve,reject
2026-08-20,W3,RV-0145,pto,R-D,approve,approve
2026-08-20,W3,RV-0190,conduct,R-E,approve,approve
2026-08-21,W3,RV-0026,conduct,R-A,reject,reject
2026-08-21,W3,RV-0030,travel,R-A,approve,approve
2026-08-21,W3,RV-0061,expense,R-B,approve,approve
2026-08-21,W3,RV-0103,benefits,R-C,approve,reject
2026-08-21,W3,RV-0107,travel,R-C,approve,approve
2026-08-21,W3,RV-0142,conduct,R-D,reject,reject
2026-08-21,W3,RV-0144,expense,R-D,approve,approve
2026-08-21,W3,RV-0146,expense,R-D,reject,reject
2026-08-21,W3,RV-0184,pto,R-E,approve,approve
2026-08-21,W3,RV-0186,benefits,R-E,approve,approve
2026-08-22,W4,RV-0032,benefits,R-A,approve,approve
2026-08-22,W4,RV-0035,travel,R-A,route-to-human,route-to-human
2026-08-22,W4,RV-0072,pto,R-B,approve,approve
2026-08-22,W4,RV-0075,conduct,R-B,approve,reject
2026-08-22,W4,RV-0079,conduct,R-B,reject,reject
2026-08-22,W4,RV-0152,expense,R-D,approve,approve
2026-08-22,W4,RV-0194,travel,R-E,route-to-human,route-to-human
2026-08-23,W4,DUP-03b,benefits,R-C,approve,approve
2026-08-23,W4,RV-0077,pto,R-B,reject,reject
2026-08-23,W4,RV-0151,benefits,R-D,approve,route-to-human
2026-08-24,W4,DUP-05b,conduct,R-D,approve,reject
2026-08-24,W4,RV-0040,expense,R-A,reject,reject
2026-08-24,W4,RV-0112,conduct,R-C,approve,reject
2026-08-24,W4,RV-0115,pto,R-C,approve,approve
2026-08-24,W4,RV-0116,benefits,R-C,route-to-human,approve
2026-08-24,W4,RV-0192,benefits,R-E,approve,approve
2026-08-24,W4,RV-0199,travel,R-E,approve,approve
2026-08-25,W4,RV-0031,conduct,R-A,approve,approve
2026-08-25,W4,RV-0034,expense,R-A,approve,approve
2026-08-25,W4,RV-0119,expense,R-C,approve,approve
2026-08-25,W4,RV-0191,benefits,R-E,reject,route-to-human
2026-08-26,W4,DUP-06b,benefits,R-E,approve,approve
2026-08-26,W4,RV-0078,conduct,R-B,approve,route-to-human
2026-08-26,W4,RV-0080,pto,R-B,approve,reject
2026-08-26,W4,RV-0111,travel,R-C,approve,approve
2026-08-26,W4,RV-0195,pto,R-E,reject,reject
2026-08-27,W4,RV-0036,expense,R-A,approve,approve
2026-08-27,W4,RV-0074,conduct,R-B,approve,approve
2026-08-27,W4,RV-0117,benefits,R-C,approve,reject
2026-08-27,W4,RV-0120,conduct,R-C,approve,approve
2026-08-27,W4,RV-0155,travel,R-D,approve,route-to-human
2026-08-27,W4,RV-0156,pto,R-D,approve,approve
2026-08-27,W4,RV-0158,pto,R-D,reject,reject
2026-08-27,W4,RV-0200,conduct,R-E,approve,approve
2026-08-28,W4,RV-0071,benefits,R-B,approve,reject
2026-08-28,W4,RV-0193,expense,R-E,route-to-human,reject
2026-08-28,W4,RV-0196,benefits,R-E,approve,approve
2026-08-29,W4,RV-0037,expense,R-A,approve,approve
2026-08-29,W4,RV-0038,travel,R-A,approve,approve
2026-08-29,W4,RV-0076,conduct,R-B,route-to-human,route-to-human
2026-08-29,W4,RV-0113,conduct,R-C,approve,approve
2026-08-29,W4,RV-0154,pto,R-D,approve,approve
2026-08-29,W4,RV-0157,expense,R-D,approve,approve
2026-08-29,W4,RV-0159,expense,R-D,approve,approve
2026-08-29,W4,RV-0197,pto,R-E,reject,reject
2026-08-29,W4,RV-0198,expense,R-E,approve,approve
2026-08-30,W4,RV-0033,benefits,R-A,approve,approve
2026-08-30,W4,RV-0039,pto,R-A,approve,approve
2026-08-30,W4,RV-0073,travel,R-B,route-to-human,reject
2026-08-30,W4,RV-0114,expense,R-C,reject,approve
2026-08-30,W4,RV-0118,expense,R-C,approve,approve
2026-08-30,W4,RV-0153,expense,R-D,route-to-human,route-to-human
2026-08-30,W4,RV-0160,conduct,R-D,approve,approve
